City_ID,Date,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,2021-01-08 05:30:51,Saint George,US,37.1041,-113.5841,39.2,38,1,4.05,clear sky
118,2021-01-08 05:35:37,Fortuna,US,40.5982,-124.1573,51.01,93,75,20.71,moderate rain
119,2021-01-08 05:35:37,Hami,CN,42.8,93.45,17.49,56,80,8.5,broken clouds
120,2021-01-08 05:31:34,Whitehorse,CA,60.7161,-135.0538,26.6,80,20,23.02,few clouds
121,2021-01-08 05:35:38,Nanortalik,GL,60.1432,-45.2371,36.37,95,100,1.57,light rain
122,2021-01-08 05:35:38,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,1,6.91,clear sky
123,2021-01-08 05:35:38,Mvuma,ZW,-19.2792,30.5283,69.4,82,100,7.52,overcast clouds
124,2021-01-08 05:35:39,Nancha,CN,47.1333,129.2667,-10.01,76,87,6.96,overcast clouds
125,2021-01-08 05:35:39,Mount Gambier,AU,-37.8333,140.7667,80.6,41,0,19.57,clear sky
126,2021-01-08 05:35:40,Ravar,IR,31.2656,56.8055,42.82,41,0,2.01,clear sky
127,2021-01-08 05:35:40,Davila,PH,18.4726,120.5763,80.6,69,20,23.02,few clouds
128,2021-01-08 05:34:35,Anamur,TR,36.0751,32.8369,51.8,82,0,6.91,clear sky
129,2021-01-08 05:35:40,Odienne,CI,9.51,-7.5692,69.06,45,13,1.41,few clouds
130,2021-01-08 05:35:41,Longyearbyen,SJ,78.2186,15.6401,35.6,64,75,17.27,broken clouds
131,2021-01-08 05:35:41,Lebu,CL,-37.6167,-73.65,53.44,80,47,19.24,scattered clouds
132,2021-01-08 05:35:41,Hornepayne,CA,49.2138,-84.7705,12.69,96,0,3.04,clear sky
133,2021-01-08 05:35:42,Bathsheba,BB,13.2167,-59.5167,77.0,83,20,13.8,few clouds
134,2021-01-08 05:35:42,Agadir,MA,30.4202,-9.5982,62.6,100,87,3.44,moderate rain
135,2021-01-08 05:35:42,Orlik,RU,52.5178,99.825,-2.69,82,8,1.63,clear sky
136,2021-01-08 05:35:42,Pangnirtung,CA,66.1451,-65.7125,-8.03,60,20,1.9,few clouds
