City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Baghmara,IN,81.81,scattered clouds,23.795,86.2085,Shankar tea shop
575,Tsabong,BW,78.71,broken clouds,-26.0217,22.401,Springbok Motel
579,Atambua,ID,80.85,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
581,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
582,Tual,ID,83.46,light rain,-5.6667,132.75,Grand Vilia Hotel
587,Lorengau,PG,80.29,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
588,Nabire,ID,85.26,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
589,Estrella,PH,87.69,few clouds,15.75,121.0333,Lawrence Garcia Residences
591,Veraval,IN,76.32,clear sky,20.9,70.3667,Lords Inn Somnath
599,Omboue,GA,75.49,overcast clouds,-1.5746,9.2618,Hotel Olako
605,Malpe,IN,82.4,light rain,13.35,74.7167,Hotel Sri Krishna Residency
612,Kovur,IN,82.96,scattered clouds,14.4833,79.9833,Hotel Yesh Park
617,Fare,PF,81.36,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
620,Tres Picos,MX,75.56,few clouds,15.8667,-93.5333,HOTEL TRES PICOS
625,Amli,IN,86.18,light rain,20.2833,73.0167,Hotel Soubhagya Inn
628,San Fernando,PH,87.8,broken clouds,15.0286,120.6898,Maharlika Hostel
634,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
636,Itarema,BR,80.98,broken clouds,-2.9248,-39.9167,Windvillage
640,Nhulunbuy,AU,89.6,few clouds,-12.2333,136.7667,East Arnhem Real Estate
642,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
643,Payo,ID,83.73,light rain,-3.7508,103.6372,Mess keban agung
644,Kokopo,PG,84.4,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
645,Camocim,BR,79.92,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
646,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
653,Baculin,PH,81.43,light rain,7.4525,126.5842,Shovy's Cove
654,Yenagoa,NG,75.58,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
658,Manggar,ID,85.91,light rain,-2.8833,108.2667,Guest Hotel
659,Sibolga,ID,84.4,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
664,Santa Rosa,PH,86.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
665,Barhi,IN,80.65,scattered clouds,23.9,80.8,"Govt , st senior boys hostel Barhi"
668,Nacala,MZ,83.68,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
676,Harper,LR,77.94,broken clouds,4.375,-7.7169,Screensaver
684,Mareeba,AU,88.0,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
686,Vung Tau,VN,79.84,broken clouds,10.345999999999998,107.0843,Seaside Resort
689,Camacari,BR,80.6,scattered clouds,-12.6975,-38.3242,Sítio Blasi
690,Papar,MY,87.8,few clouds,5.7333,115.9333,Koposizon Homestay
693,Loma Bonita,PA,78.01,scattered clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
696,Buchanan,LR,75.2,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
698,Banka,IN,80.78,clear sky,24.8833,86.9167,Hotel Krrish Inn
702,Pak Phanang,TH,87.8,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
704,Paracuru,BR,81.0,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
706,Acajutla,SV,76.78,broken clouds,13.5928,-89.8275,asi es
709,Biak,ID,81.64,light rain,-0.9131,122.8766,Penginapan Kim
712,Pringsewu,ID,87.64,moderate rain,-5.3582,104.9744,Urban Style by Front One
714,Amahai,ID,85.19,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
717,Mogadishu,SO,77.0,few clouds,2.0371,45.3438,Hotel Juba
718,Beira,MZ,82.4,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
721,Porto Novo,BJ,80.6,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
