City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Iqaluit,CA,2021-01-04 02:46:03,63.75,-68.51,-2.2,70,90,0.87
119,Kumluca,TR,2021-01-04 02:46:03,36.37,30.29,58.8,51,63,6.49
120,San Carlos De Bariloche,AR,2021-01-04 02:43:09,-41.15,-71.31,57.2,50,40,11.41
121,Buin,CL,2021-01-04 02:46:04,-33.73,-70.75,71.6,43,0,10.29
122,Colac,AU,2021-01-04 02:46:04,-38.33,143.58,57.0,99,98,5.99
123,Cherskiy,RU,2021-01-04 02:45:54,68.75,161.3,-27.22,85,85,4.63
124,Locri,IT,2021-01-04 02:46:04,38.24,16.26,50.0,71,74,2.24
125,Pevek,RU,2021-01-04 02:46:05,69.7,170.31,-18.15,89,72,6.8
126,Mokhsogollokh,RU,2021-01-04 02:46:05,61.47,128.92,-35.97,83,100,0.47
127,Ust-Nera,RU,2021-01-04 02:46:05,64.57,143.2,-21.69,78,100,4.65
128,Lima,PE,2021-01-04 02:43:58,-12.04,-77.03,69.8,83,75,13.87
129,Sao Lourenco Do Sul,BR,2021-01-04 02:46:06,-31.37,-51.98,73.99,80,3,5.01
130,Bilma,NE,2021-01-04 02:46:06,18.69,12.92,67.5,24,0,5.14
131,La Asuncion,VE,2021-01-04 02:46:06,11.03,-63.86,76.01,78,7,11.07
132,Hithadhoo,MV,2021-01-04 02:46:06,-0.6,73.08,83.05,74,75,7.63
133,Samarai,PG,2021-01-04 02:46:07,-10.62,150.67,86.99,66,100,16.2
134,Ancud,CL,2021-01-04 02:46:07,-41.87,-73.82,53.01,81,0,6.93
135,Goderich,CA,2021-01-04 02:41:09,43.75,-81.72,32.0,90,94,1.12
136,Junction City,US,2021-01-04 02:46:07,39.03,-96.83,39.2,69,1,3.36
137,Kazachinskoye,RU,2021-01-04 02:46:07,57.7,93.28,-13.77,87,100,7.58
138,Lompoc,US,2021-01-04 02:46:08,34.64,-120.46,53.6,87,75,3.36
139,Hambantota,LK,2021-01-04 02:45:42,6.12,81.12,77.0,100,90,4.7
140,Carnarvon,AU,2021-01-04 02:46:08,-24.87,113.63,80.6,74,40,14.99
141,Deputatskiy,RU,2021-01-04 02:46:08,69.3,139.9,-26.88,88,46,1.52
142,Kaitangata,NZ,2021-01-04 02:46:08,-46.28,169.85,64.0,59,100,8.01
143,Tuatapere,NZ,2021-01-04 02:46:09,-46.13,167.68,62.01,71,89,11.01
144,Gondar,ET,2021-01-04 02:46:09,12.6,37.47,53.92,45,1,4.74
145,Ponta Do Sol,PT,2021-01-04 02:46:09,32.67,-17.1,62.6,72,75,12.75
146,Provideniya,RU,2021-01-04 02:46:10,64.38,-173.3,-3.78,86,0,20.58
147,Siocon,PH,2021-01-04 02:46:10,7.71,122.14,86.97,65,7,4.34
148,Manta,EC,2021-01-04 02:45:11,-0.95,-80.73,77.0,83,40,3.36
149,Kloulklubed,PW,2021-01-04 02:46:10,7.04,134.26,86.0,70,75,14.99
150,Phan Thiet,VN,2021-01-04 02:46:10,10.93,108.1,81.03,66,98,7.49
151,Estevan,CA,2021-01-04 02:46:11,49.13,-102.98,35.6,80,40,14.99
152,Katsuura,JP,2021-01-04 02:42:12,35.13,140.3,48.0,52,75,4.7
153,College,US,2021-01-04 02:46:11,64.86,-147.8,1.4,64,75,5.82
154,Dapdap,PH,2021-01-04 02:46:11,12.06,125.49,81.84,83,33,13.44
155,Klaksvik,FO,2021-01-04 02:46:11,62.23,-6.59,42.8,93,97,19.46
156,Alice Springs,AU,2021-01-04 02:46:12,-23.7,133.88,89.01,37,18,12.75
157,San Quintin,MX,2021-01-04 02:46:12,30.48,-115.95,58.44,82,0,13.94
158,Igrim,RU,2021-01-04 02:46:12,63.19,64.42,-16.49,88,95,4.99
159,Presidencia Roque Saenz Pena,AR,2021-01-04 02:46:12,-26.79,-60.44,82.0,47,94,4.0
160,Fuling,CN,2021-01-04 02:46:12,29.7,107.39,46.35,70,95,2.08
161,Khowai,IN,2021-01-04 02:46:13,24.1,91.63,57.2,100,74,2.51
162,Miranda,CO,2021-01-04 02:46:13,3.25,-76.23,73.4,78,75,2.24
163,Martapura,ID,2021-01-04 02:46:14,-3.42,114.85,82.4,83,40,6.93
164,Shaunavon,CA,2021-01-04 02:46:14,49.65,-108.42,26.6,73,7,13.87
165,Edea,CM,2021-01-04 02:46:14,3.8,10.13,78.8,100,75,2.24
166,Innisfail,AU,2021-01-04 02:46:14,-17.53,146.03,75.99,85,100,5.01
167,East London,ZA,2021-01-04 02:46:14,-33.02,27.91,71.96,86,2,8.3
168,Kamina,CD,2021-01-04 02:46:15,-8.74,24.99,64.02,98,100,2.19
169,Barrow,US,2021-01-04 02:46:15,71.29,-156.79,-0.4,77,90,8.05
170,Aklavik,CA,2021-01-04 02:46:15,68.22,-135.01,-22.0,74,99,7.14
171,Araouane,ML,2021-01-04 02:46:15,18.9,-3.53,65.66,23,0,6.78
172,Vaini,TO,2021-01-04 02:46:16,-21.2,-175.2,82.4,83,75,13.87
173,Belaya Gora,RU,2021-01-04 02:46:16,68.53,146.42,-23.98,86,100,6.24
174,Altea,ES,2021-01-04 02:46:16,38.6,-0.05,48.99,49,0,1.99
175,Mathathane,BW,2021-01-04 02:46:16,-22.27,28.75,68.38,84,0,7.02
176,Namanyere,TZ,2021-01-04 02:46:17,-7.52,31.05,60.35,82,97,2.68
177,Los Llanos De Aridane,ES,2021-01-04 02:46:17,28.66,-17.92,66.2,82,75,14.99
178,Okhotsk,RU,2021-01-04 02:46:17,59.38,143.3,-9.47,83,100,13.51
179,Bud,US,2021-01-04 02:46:17,39.45,-86.18,33.01,91,80,3.24
180,Ostrovnoy,RU,2021-01-04 02:46:18,68.05,39.51,9.1,93,2,5.66
181,Longyearbyen,SJ,2021-01-04 02:46:18,78.22,15.64,41.0,65,40,34.45
182,Niksic,ME,2021-01-04 02:43:41,42.77,18.94,50.0,81,75,5.82
183,Rura,IN,2021-01-04 02:46:18,26.48,79.9,66.27,61,24,4.74
184,Tahta,EG,2021-01-04 02:46:19,26.77,31.5,50.0,76,0,4.7
185,Ivankiv,UA,2021-01-04 02:46:19,50.94,29.89,35.6,100,100,11.18
186,Wanning,CN,2021-01-04 02:46:19,18.8,110.4,68.25,76,98,11.63
187,Lakhimpur,IN,2021-01-04 02:46:19,27.95,80.77,66.85,56,100,1.14
188,Cabedelo,BR,2021-01-04 02:46:19,-6.98,-34.83,78.8,88,40,8.05
189,Pimenta Bueno,BR,2021-01-04 02:46:20,-11.67,-61.19,72.45,96,100,2.95
190,Tasiilaq,GL,2021-01-04 02:46:20,65.61,-37.64,28.4,79,100,10.29
191,Bima,ID,2021-01-04 02:46:20,-8.47,118.72,89.67,63,88,0.47
192,Mulchen,CL,2021-01-04 02:46:20,-37.72,-72.23,58.39,59,0,8.23
193,Kinchil,MX,2021-01-04 02:46:20,20.92,-89.95,75.0,88,75,5.82
194,Dyurtyuli,RU,2021-01-04 02:46:21,55.49,54.87,12.2,96,93,8.43
195,Kiruna,SE,2021-01-04 02:46:21,67.86,20.23,14.0,85,100,8.05
